From Timestamp,HH Electricity (kWh),HH Cooling (kWh),HH Boiler (kWh),DE Electricity (kWh),DE Boiler (kWh)
2018-01-03 01:30:00,14.0,0.584,3.2,,21.1
2018-01-03 02:00:00,15.5,0.5908,1.0,,26.5
2018-01-03 02:30:00,13.8,0.5645,3.7,,54.5
2018-01-03 03:00:00,13.6,0.5674,0.6,,20.9
2018-01-03 03:30:00,14.1,0.252,4.0,,28.6
2018-01-03 04:00:00,13.8,0.7646,2.2,,51.0
2018-01-03 04:30:00,13.8,1.2919999999999998,2.1,,20.9
2018-01-03 05:00:00,14.3,0.6475,2.3,,55.8
2018-01-03 05:30:00,14.9,0.6211,4.7,,88.9
2018-01-03 06:00:00,14.9,0.5957,6.5,,84.2
2018-01-03 06:30:00,16.7,0.5801,2.6,,52.0
2018-01-03 07:00:00,16.0,0.6104,4.2,,68.4
2018-01-03 07:30:00,19.9,0.5098,358.0,,93.0
2018-01-03 08:00:00,22.4,0.5645,245.6,,101.1
2018-01-03 08:30:00,21.8,0.6426,94.8,,127.6
2018-01-03 09:00:00,21.8,0.6582,157.29999999999995,,127.40000000000002
2018-01-03 09:30:00,23.9,0.6679999999999999,79.9,,124.3
2018-01-03 10:00:00,25.5,0.627,114.9,,123.4
2018-01-03 10:30:00,26.7,0.5938,110.6,,115.6
2018-01-03 11:00:00,27.1,0.625,78.60000000000002,,108.6
2018-01-03 11:30:00,26.59,0.6436,148.5,,113.5
2018-01-03 12:00:00,26.7,0.627,57.0,,104.6
2018-01-03 12:30:00,27.2,0.5996,124.5,,106.7
2018-01-03 13:00:00,27.4,0.6895,100.1,,112.5
2018-01-03 13:30:00,28.6,0.6367,73.4,,119.7
2018-01-03 14:00:00,27.5,0.5879,143.4,,118.6
2018-01-03 14:30:00,26.9,0.5820000000000001,59.6,,117.1
2018-01-03 15:00:00,26.6,0.708,130.6,,107.9
2018-01-03 15:30:00,25.9,0.7051,96.6,,108.9
2018-01-03 16:00:00,25.1,0.6592,72.2,,107.4
2018-01-03 16:30:00,23.09,0.6807,141.1,,104.0
2018-01-03 17:00:00,22.7,0.6865,59.6,,101.3
2018-01-03 17:30:00,21.3,0.6758,120.1,,83.6
2018-01-03 18:00:00,19.41,0.7246,25.7,,64.0
2018-01-03 18:30:00,15.2,0.7490000000000001,3.9,,21.6
2018-01-03 19:00:00,15.0,0.6768,3.8,,39.8
2018-01-03 19:30:00,15.5,0.6348,2.8,,38.3
2018-01-03 20:00:00,14.3,0.6484,0.7,,20.3
