Date,Elec_mean_0,Elec_mean_1,Elec_mean_2,Elec_mean_3,Elec_min_,Elec_max_,Elec_ptv
2018-05-10,0.0,0.0,0.45227351614022904,0.3137512020281493,0.17567567567567566,0.42787682333873567,0.6111111111111109
2018-05-11,0.5658651149747617,0.663220892274211,0.4453314821242623,0.31501879534924393,0.14189189189189189,0.42463533225283634,0.6296296296296295
2018-05-12,0.5595905776780706,0.5106093579978236,0.06837903505727172,0.08680828743771307,0.11486486486486491,0.08103727714748776,0.1296296296296296
2018-05-13,0.5635866517106002,0.5097932535364526,0.07046164526206178,0.08929976396538164,0.10810810810810811,0.08752025931928686,0.14814814814814814
2018-05-14,0.5623597868760517,0.6667573449401523,0.45748004165220413,0.3377917650144243,0.15540540540540548,0.44084278768233387,0.6481481481481481
2018-05-15,0.5738572630398205,0.6700217627856364,0.4807358556056923,0.3727598566308242,0.15540540540540548,0.46677471636952983,0.6666666666666665
2018-05-16,0.5603617498597868,0.6847116430903154,0.48004165220409567,0.2769472856018883,0.10135135135135132,0.4570502431118314,0.7037037037037037
2018-05-17,0.5140213123948402,0.6188792165397169,0.4113155154460256,0.27659760468572425,0.06756756756756754,0.4213938411669368,0.6851851851851851
2018-05-18,0.5185431856421762,0.633297062023939,0.41166261714682395,0.2619547163213568,0.07432432432432434,0.4084278768233386,0.6666666666666665
2018-05-19,0.5022434099831744,0.4684439608269858,0.0246442207566816,0.035580033219686946,0.04729729729729737,0.0421393841166936,0.1296296296296296
2018-05-20,0.5112871564778463,0.46980413492927087,0.03852828878861503,0.04930500917912406,0.05405405405405417,0.07131280388978922,0.18518518518518515
2018-05-21,0.5410824453168817,0.6620511425462458,0.5544255466851787,0.3571553457470059,0.05405405405405417,0.5283630470016206,0.7962962962962963
2018-05-22,0.5733665171060012,0.6879760609357997,0.5185699409927106,0.37463939155520587,0.18243243243243246,0.5251215559157211,0.7037037037037037
2018-05-23,0.5703519349411105,0.6760065288356908,0.48351266921207914,0.40462453011626887,0.16216216216216228,0.4991896272285251,0.6851851851851851
2018-05-24,0.5961511497476164,0.6961371055495102,0.5060742797639707,0.37839846140396893,0.21621621621621623,0.4764991896272285,0.6296296296296295
2018-05-25,0.5913839035333707,0.7105549510337321,0.5664699757028807,0.3125273188215755,0.17567567567567566,0.6742301458670988,0.8333333333333333
2018-05-26,0.5485838474481212,0.5021762785636561,0.06386671294689339,0.08803217064428703,0.1351351351351353,0.06807131280388978,0.07407407407407406
2018-05-27,0.5568564217610769,0.501632208922742,0.05414786532453997,0.07334557216539905,0.1351351351351353,0.10048622366288484,0.14814814814814814
2018-05-28,0.55657599551318,0.5606637649619151,0.1933356473446719,0.18200891686336218,0.14189189189189189,0.1880064829821717,0.31481481481481477
2018-05-29,0.5703519349411105,0.7268770402611532,0.5366192294342241,0.34871929364454923,0.16891891891891908,0.5445705024311182,0.7222222222222221
2018-05-30,0.5773625911385305,0.6991294885745374,0.5150989239847273,0.40305096599353096,0.17567567567567566,0.492706645056726,0.6851851851851851
2018-05-31,0.6156758272574313,0.7309575625680085,0.5560569246789308,0.41712562286913213,0.2432432432432432,0.5316045380875202,0.6666666666666665
2018-06-01,0.6121704991587212,0.7334058759521218,0.5373134328358208,0.3884080776291635,0.23648648648648662,0.5089141004862235,0.6481481481481481
2018-06-02,0.6003925967470556,0.5391730141458105,0.10204790003471009,0.1342337616924555,0.20945945945945943,0.10696920583468394,0.07407407407407406
2018-06-03,0.587633202467751,0.5321001088139281,0.1089899340506768,0.15298540082175027,0.15540540540540548,0.13290113452188002,0.18518518518518515
2018-06-04,0.622195737521032,0.7391186071817191,0.5366192294342241,0.38932599003409385,0.2702702702702704,0.5186385737439222,0.6296296296296295
2018-06-05,0.6237030286034774,0.7108269858541892,0.472058313085734,0.38058396712999387,0.2635135135135136,0.4440842787682334,0.5555555555555556
2018-06-06,0.6066671340437465,0.6817192600652883,0.5022561610551891,0.40401258851298205,0.22297297297297303,0.48946515397082646,0.6296296296296295
2018-06-07,0.6106632080762759,0.6885201305767137,0.523082263103089,0.4258676457732321,0.2432432432432432,0.5218800648298217,0.6481481481481481
2018-06-08,0.6114343802579922,0.7048422198041349,0.5442554668517875,0.45082612116443743,0.2432432432432432,0.5737439222042139,0.7037037037037037
2018-06-09,0.5936623667975323,0.5342763873775842,0.13675807011454355,0.18576798671212524,0.20945945945945943,0.14262560777957856,0.14814814814814814
2018-06-10,0.616937745372967,0.5448857453754079,0.14092329052412345,0.19232450389020028,0.22297297297297303,0.17179902755267418,0.2037037037037037
2018-06-11,0.6076836791923724,0.7276931447225243,0.6404026379729258,0.4667366028498995,0.20270270270270285,0.6320907617504051,0.7777777777777777
2018-06-12,0.5788698822209759,0.7219804134929271,0.584519264144394,0.37839846140396893,0.1351351351351353,0.5542949756888168,0.7592592592592591
2018-06-13,0.5531758272574313,0.663220892274211,0.5303713988198541,0.3252906722615615,0.10135135135135132,0.5283630470016206,0.7592592592592591
2018-06-14,0.5823401570386988,0.6406420021762784,0.5522388059701492,0.3190838359996503,0.09459459459459474,0.5705024311183143,0.7962962962962963
2018-06-15,0.5125140213123948,0.6466267682263328,0.48628948281846573,0.30159979019145033,0.06081081081081097,0.4991896272285251,0.7777777777777777
2018-06-16,0.5137759394279304,0.4828618063112077,0.052412356820548345,0.06993618323280004,0.07432432432432434,0.06158833063209068,0.1296296296296296
2018-06-17,0.5340717891194615,0.48449401523394986,0.036792780284623294,0.06460354926129908,0.08108108108108114,0.0907617504051863,0.18518518518518515
